un_code,country,iso2c,iso3c,eu27,eea,euro
040,Austria,AT,AUT,TRUE,TRUE,TRUE
056,Belgium,BE,BEL,TRUE,TRUE,TRUE
100,Bulgaria,BG,BGR,TRUE,TRUE,FALSE
191,Croatia,HR,HRV,TRUE,TRUE,FALSE
196,Cyprus,CY,CYP,TRUE,TRUE,TRUE
203,Czech Republic,CZ,CZE,TRUE,TRUE,FALSE
208,Denmark,DK,DNK,TRUE,TRUE,FALSE
233,Estonia,EE,EST,TRUE,TRUE,TRUE
246,Finland,FI,FIN,TRUE,TRUE,TRUE
250,France,FR,FRA,TRUE,TRUE,TRUE
276,Germany,DE,DEU,TRUE,TRUE,TRUE
300,Greece,GR,GRC,TRUE,TRUE,TRUE
348,Hungary,HU,HUN,TRUE,TRUE,FALSE
372,Ireland,IE,IRL,TRUE,TRUE,TRUE
380,Italy,IT,ITA,TRUE,TRUE,TRUE
428,Latvia,LV,LVA,TRUE,TRUE,TRUE
440,Lithuania,LT,LTU,TRUE,TRUE,TRUE
442,Luxembourg,LU,LUX,TRUE,TRUE,TRUE
470,Malta,MT,MLT,TRUE,TRUE,TRUE
528,Netherlands,NL,NLD,TRUE,TRUE,TRUE
616,Poland,PL,POL,TRUE,TRUE,FALSE
620,Portugal,PT,PRT,TRUE,TRUE,TRUE
642,Romania,RO,ROU,TRUE,TRUE,FALSE
703,Slovakia,SK,SVK,TRUE,TRUE,TRUE
705,Slovenia,SI,SVN,TRUE,TRUE,TRUE
724,Spain,ES,ESP,TRUE,TRUE,TRUE
752,Sweden,SE,SWE,TRUE,TRUE,FALSE
578,Norway,NO,NOR,FALSE,TRUE,FALSE
438,Liechtenstein,LI,LIE,FALSE,TRUE,FALSE
352,Iceland,IS,ISL,FALSE,TRUE,FALSE
